taxon,TCGA-B7-5816-01A,TCGA-B7-5818-01A,TCGA-BR-4183-01A,TCGA-BR-4183-11A,TCGA-BR-4184-01A,TCGA-BR-4184-11A,TCGA-BR-4187-01A,TCGA-BR-4187-11A,TCGA-BR-4188-01A,TCGA-BR-4188-11A,TCGA-BR-4191-01A,TCGA-BR-4191-11A,TCGA-BR-4201-01A,TCGA-BR-4201-11A,TCGA-BR-4253-01A,TCGA-BR-4253-11A,TCGA-BR-4255-01A,TCGA-BR-4255-11A,TCGA-BR-4256-01A,TCGA-BR-4256-11A,TCGA-BR-4257-01A,TCGA-BR-4257-11A,TCGA-BR-4267-01A,TCGA-BR-4267-11A,TCGA-BR-4279-01A,TCGA-BR-4279-11A,TCGA-BR-4280-01A,TCGA-BR-4280-11A,TCGA-BR-4292-01A,TCGA-BR-4292-11A,TCGA-BR-4294-01A,TCGA-BR-4294-11A,TCGA-BR-4357-01A,TCGA-BR-4357-11A,TCGA-BR-4363-01A,TCGA-BR-4363-11A,TCGA-BR-4366-01A,TCGA-BR-4366-11A,TCGA-BR-4367-01A,TCGA-BR-4367-11A,TCGA-BR-4368-01A,TCGA-BR-4368-11A,TCGA-BR-4369-01A,TCGA-BR-4369-11A,TCGA-BR-4370-01A,TCGA-BR-4370-11A,TCGA-BR-6452-01A,TCGA-BR-6453-01A,TCGA-BR-6453-11A,TCGA-BR-6454-01A,TCGA-BR-6454-11A,TCGA-BR-6455-01A,TCGA-BR-6456-01A,TCGA-BR-6457-01A,TCGA-BR-6458-01A,TCGA-BR-6564-01A,TCGA-BR-6565-01A,TCGA-BR-6566-01A,TCGA-BR-6705-01A,TCGA-BR-6706-01A,TCGA-BR-6707-01A,TCGA-BR-6710-01A,TCGA-BR-6801-01A,TCGA-BR-6802-01A,TCGA-BR-6803-01A,TCGA-BR-6852-01A,TCGA-BR-7722-01A,TCGA-BR-8373-01A,TCGA-BR-8381-01A,TCGA-BR-8486-01A,TCGA-BR-8682-01A,TCGA-BR-8690-01A,TCGA-BR-A4J4-01A,TCGA-CD-5798-01A,TCGA-CD-5799-01A,TCGA-CD-5800-01A,TCGA-CD-5801-01A,TCGA-CD-5802-01A,TCGA-CD-5803-01A,TCGA-CD-5813-01A,TCGA-CD-8529-01A,TCGA-CG-4300-01A,TCGA-CG-4301-01A,TCGA-CG-4304-01A,TCGA-CG-4305-01A,TCGA-CG-4306-01A,TCGA-CG-4436-01A,TCGA-CG-4437-01A,TCGA-CG-4440-01A,TCGA-CG-4441-01A,TCGA-CG-4442-01A,TCGA-CG-4443-01A,TCGA-CG-4444-01A,TCGA-CG-4449-01A,TCGA-CG-4455-01A,TCGA-CG-4460-01A,TCGA-CG-4462-01A,TCGA-CG-4465-01A,TCGA-CG-4466-01A,TCGA-CG-4469-01A,TCGA-CG-4472-01A,TCGA-CG-4474-01A,TCGA-CG-4475-01A,TCGA-CG-4476-01A,TCGA-CG-4477-01A,TCGA-CG-5717-01A,TCGA-CG-5718-01A,TCGA-CG-5719-01A,TCGA-CG-5720-01A,TCGA-CG-5720-11A,TCGA-CG-5721-01A,TCGA-CG-5721-11A,TCGA-CG-5722-01A,TCGA-CG-5722-11A,TCGA-CG-5723-01A,TCGA-CG-5723-11A,TCGA-CG-5724-01A,TCGA-CG-5724-11A,TCGA-CG-5725-01A,TCGA-CG-5725-11A,TCGA-CG-5726-01A,TCGA-CG-5726-11A,TCGA-CG-5727-01A,TCGA-CG-5727-11A,TCGA-CG-5728-01A,TCGA-CG-5728-11A,TCGA-CG-5730-01A,TCGA-CG-5730-11A,TCGA-CG-5732-01A,TCGA-CG-5732-11A,TCGA-CG-5733-01A,TCGA-CG-5733-11A,TCGA-CG-5734-01A,TCGA-CG-5734-11A,TCGA-D7-5577-01A,TCGA-D7-5578-01A,TCGA-D7-5579-01A,TCGA-D7-6518-01A,TCGA-D7-6519-01A,TCGA-D7-6520-01A,TCGA-D7-6521-01A,TCGA-D7-6522-01A,TCGA-D7-6524-01A,TCGA-D7-6525-01A,TCGA-D7-6526-01A,TCGA-D7-6527-01A,TCGA-D7-6528-01A,TCGA-D7-6815-01A,TCGA-D7-6817-01A,TCGA-D7-6818-01A,TCGA-D7-6820-01A,TCGA-D7-6822-01A,TCGA-D7-8570-01A,TCGA-D7-A4YX-01A,TCGA-EQ-5647-01A,TCGA-F1-6177-01A,TCGA-F1-6874-01A,TCGA-F1-6875-01A,TCGA-F1-6875-11A,TCGA-FP-7998-01A,TCGA-HF-7136-01A,TCGA-HU-8245-01A,TCGA-HU-8608-01A,TCGA-HU-A4G6-01A,TCGA-HU-A4H0-01A,TCGA-HU-A4H0-11A,TCGA-IN-7806-01A
Spirochaetaceae,0.0005192510540405988,6.214065325415532e-05,0.0,0.0,0.0,0.00164941089612573,0.0,0.0,0.0,0.0,0.00017000221335797348,0.0,0.017675599532704686,0.025993639147267662,0.002979815709885663,0.004822540303891329,0.0005642912565550197,0.00025725661089905425,0.0,0.0,0.018143273783609887,0.0013653203227904738,0.005180757640417303,0.0018523242113957414,0.00025266100213942416,0.00019174910907575224,0.00012937227670701624,0.0011482369635921006,0.00026086004855840715,0.0,0.0,0.0,0.0,0.0017392216755005724,2.67088771102561e-05,0.0,0.0,0.002286584236204093,0.0029320465676436177,0.0,0.0008653118436265803,0.0,0.0,0.0,0.0,0.0,0.0,0.008069163558028817,0.011336644353271431,0.0,0.0,0.0,0.034357573070461805,0.0,0.033018867924528295,0.0,0.0,0.0,0.00308641975308642,0.0,0.0,0.0,6.610018573648412e-05,0.0013735590265449226,0.0,0.006625478546647143,0.0,0.0005730183949679376,0.0039145064144144705,0.0010853070860761102,0.003862338142269633,0.014548239113474996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004387245803722367,0.0,0.0,0.0066244449297517645,0.0,0.00010840594351625555,0.0,0.0,0.0,0.0,0.01487577033107958,0.0,0.0,0.003486171519638766,0.0,0.0218304964074898,0.0,0.0,0.0,0.0005048573369870429,0.0,0.0021078547147059235,0.0,0.0,0.007823936005579027,0.00013014674016502732,0.00024820017365357943,0.0,0.0011829652996845426,0.0,0.03008585093972945,0.020626794974444036,0.0,0.0,0.10494372805752247,0.043716713879827986,0.010602504019442537,0.006213151381460542,0.02918234287640238,0.003430531732418525,0.01936159079016221,0.0,0.00032199297354422874,0.0,0.08472833415748142,0.0006763100840294505,0.00737577639751553,0.0009816231841538138,0.0,0.0,0.0,0.0,0.0069767699400883725,0.0,0.018050541516245487,0.0,8.097372444429799e-05,0.0,0.0,0.0,0.0,0.005284791544333529,0.00029334365703944287,0.004239271781534461,0.0,0.009687796977683388,0.0,0.0,0.0,0.05572217009594569,0.00011908745987619204,0.0051092075465654935,0.0,0.014579321136254209,0.0,8.316921008457484e-06,0.0008767905590460945,0.0018808961391403203,0.0,0.0,0.0,0.00263202520783807,0.0,0.0,0.0,0.0,0.0
Moraxellaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neisseriaceae,0.0,0.0009293225556331657,0.0,0.0,0.0007915152206902595,0.0,0.0,0.0,0.0,0.0,0.0001062513833487334,0.0,0.0,0.0,5.286321053952157e-05,0.0,0.0,0.0,0.0,0.006941102724897482,0.0,0.0,0.00010336174980881476,0.0,0.001440167712194718,0.00037567172390351466,0.0002186342548175704,0.0051366207706265345,8.808261379894266e-05,0.0,0.0185793375246317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07294359753649975,0.021142817334645292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03734869989716196,0.01295616497516735,0.0,0.0,0.0,0.0,0.21428571428571436,0.0,0.016100692929440955,0.0,0.0,0.061728395061728385,0.0,0.0,0.0,0.07595316036136737,0.0,0.0,0.0,0.0,0.14227842097627116,0.08665739453821558,0.00022195294211021298,0.006437230237116056,3.77904045796298e-05,0.0016237354760334517,0.0,0.0,0.18096809680968096,0.0,0.0,0.0,0.0,0.00042141640653250864,0.0,0.0,0.0,0.0,0.0,0.00013167097336753107,0.0,0.0,0.0,8.779729259887429e-05,0.0,0.0,0.09110528237989307,0.0,0.0,0.016795077329034912,0.0,0.0013340109910919664,0.01386616789345447,0.0,0.016806364120638063,0.012991478909839264,0.0,0.0,0.05592914694744043,0.00022563652150325405,0.0,0.0,0.0,0.0,0.0037503263589898244,0.0,0.0036779883655470064,0.0,0.0,0.001831197586683333,0.0005497786971632551,0.06930806433145567,0.0548885077186964,0.0,0.0,0.04718759033758031,0.02325581395348837,0.0,0.0010434498439311519,0.0,0.030550541680841238,0.0018470657740926888,0.029411764705882363,0.0,0.0,0.0,0.0,0.018050541516245487,0.10803802938634398,0.018301826764206858,0.13067543541400448,0.0,0.0,0.0,0.0,0.006981579037538739,0.0,0.0018729833714804113,0.058390640822674124,0.0003822143935859178,0.007117437722419929,0.05113628768485031,0.0004089700557500601,0.0017012494268027435,0.10738612737020532,0.0,0.046167850264804994,0.2640229937600046,3.8749291062131466e-05,0.00789111503141485,0.14525892183132247,0.14688686099251094,0.1185410334346505,0.0,0.0004870682049173955,0.016061768490326832,0.0,0.0,0.12255944391381003,0.062068482754957736
Enterobacteriaceae,0.0,0.0,0.0,0.0,0.00012049733823841587,0.01991074581751774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485445205479452,0.01396634002827857,0.0,0.0,0.0,0.0,0.0,0.0,0.004548275311058128,0.017422835411436795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0622061423554115,0.0,0.0,0.002605061933676277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07982583454281568,0.0,0.0,0.0,0.0,0.0,0.0,0.1581188101303886,0.0,0.0,0.007640712411881231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5684857482046821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00547661537241821,0.0,0.0,0.0,0.0,0.04817573002418842,0.0,0.0,0.0,0.0014750034291497163,0.0,0.0,0.0,0.03845588532520732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00866514779410599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040904210846101335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012190009826933246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasteurellaceae,0.0005192510540405988,0.016020854470307943,0.0,0.008328916483682895,0.0033936764117918584,0.3860962885313587,0.0,0.00022975048432571422,0.009218328189071458,0.01010279189852307,0.00017000221335797348,0.0,0.000551237308088243,0.0027522384182381192,2.6863337479248723e-05,0.001607513434630443,0.06894448312933651,0.22785654155930374,0.00973323720259553,0.010180283996516305,0.07775688764404237,0.014104420200678798,0.000692523723719059,0.008644179653180126,0.1325598049478096,0.15019614648092094,0.8289920461859887,0.1576910459260186,0.0029948088691640505,0.16666666666666666,0.19817960026273812,0.001487839380767616,0.07984204012959385,0.00030060621551861747,0.002016089433483848,0.09803921568627452,0.0,0.0,0.20817530630269684,0.16914253867716236,0.0,0.00070227003647021,0.024568863690054336,0.05865556345384691,0.0,0.0,0.004546166116781463,0.06598535034729272,0.0545238609371626,0.13333333333333333,0.0,0.0,0.09477884059471113,0.3214285714285715,0.0047169811320754715,0.03220138585888191,0.029447852760736193,0.0,0.16049382716049382,0.04526091586794463,0.06386066763425255,0.000902462617110848,0.25824217697834256,0.0018314120353932304,0.0018429782528566164,0.0,0.0,0.2222209245141216,0.08195513051161063,0.06985878169955895,0.006437230237116056,5.783574961752037e-05,0.004251029683782022,0.0,7.537476512684795e-05,0.10396039603960396,0.0,0.0205834317257803,0.0,0.009883792740734379,0.0009933386725409132,0.008616981163361591,0.0,0.0,0.4528301886792454,0.0,0.6389553842374003,0.0,0.175,0.02797514338883897,0.00022526241053615802,0.0013836633692827925,0.0,0.03486171519638767,0.09090590531962388,0.007058962910206283,0.05038523198710474,0.04924794696374941,0.0047501409076664645,0.07235310091122447,0.16666666666666669,0.029057776896543038,0.12838637981488216,0.0,0.0,0.20928622361273866,0.003971202778457271,0.06304378833262017,0.03470031545741325,0.0005260389268805891,0.010238614529097105,0.11250979076969472,0.06354515050167224,0.004728842184274723,9.960422490227123e-07,9.980302665278928e-05,0.008071733801477654,0.0030022816482648106,0.051069100033704184,0.19210977701543736,0.05034013605442176,0.0,0.06852749796235368,0.12403100775193796,0.001258938199082072,0.009603603193218195,0.012513090979117413,0.3702926136452114,0.38787392858622943,0.42647058823529416,0.2990953057191376,0.06586788783639673,0.0041860619640530245,0.4285714285714286,0.0036101083032490976,0.3085566119273984,0.020503035459242282,0.0585331770160748,0.06412382531785517,0.0,0.011051709420908395,0.047563123899001775,0.7156696311589559,0.01695708712613784,0.008730519263836112,0.043214447686815205,0.004324665229156629,0.0899994842436433,0.03409085845656687,0.027275156795023247,0.023489719707913564,0.5393023106716008,0.022727272727272728,0.09233570052961,0.29011009453787817,0.00036750394706121513,0.019114034187204858,0.09934635895400012,0.0942524024701945,0.07598784194528876,0.0,0.01025140859179669,0.10717643688926587,0.0,0.2352941176470588,0.20426573985635002,0.09028142946175673
Bacteroidaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008384099993862046,0.043994855585214925,0.0,0.0,0.0,0.0,0.0,0.0,0.22290307791292147,0.023358282719842114,0.0,0.0,0.0,0.0,0.0,0.0,0.0002862684948465637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016195206218959188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002865091974839688,2.979632782901789e-05,0.0,0.0,2.087654063734025e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016555644542348558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014450093483372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004844772716312163,0.0,0.0,0.0,0.0007361292811044161,0.0,7.962737329461767e-05,8.678214424119139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00019771785818917156,0.0,0.0,0.0,4.6130513838478745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034237330446416133,0.0006748682785024979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.49309452807136e-05,0.0,0.0,0.0,0.0,0.0
Cardiobacteriaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micrococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65697690609866e-05,0.0,0.0,0.0049980082723444594,0.0014120529531570307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.515155387965437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003737253278931521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008651454198535529,0.0,0.0,0.0,0.0,0.0,0.0,0.0003266239822163411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017358362577012124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017064357548495176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017809498879442192,0.0,0.0,0.0,0.0,0.007899937436070587,0.0,0.0,0.0,0.0,0.0,0.0002992729338316145,0.002382766497999505,0.0,0.0,0.0,0.0,0.0,0.0,0.001971597994672929,0.0007038997710772621,0.0,0.0,0.0,0.0,0.0,0.0006561459371129888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Streptococcaceae,0.01308512656182309,0.017593638047991786,0.03903829470814228,0.006246687362762172,0.1613486482863046,0.056904675916337674,0.010835887319551304,0.0006637236213853964,0.12642278659297998,0.06566814734039995,0.06397572223613612,0.16872786875463486,0.007260045909934927,0.040180100162448176,0.01152493641282246,0.12918850717404168,0.07157832718771713,0.20950534336632054,0.0410057678442682,0.05714841243498925,0.02879884727557124,0.1208497483499413,0.003849257560843127,0.01654742962180196,0.131645648410562,0.0229780903841352,0.09553677330265814,0.17256039661952374,0.11056400707470357,0.0,0.2258609364736793,0.0019117792596767672,0.24654810406440755,0.00139176773808295,0.14260146969635715,0.0784313725490196,0.0,0.006097557963210913,0.22064680195216949,0.3888667508254,0.003461247374506321,0.002340900121567367,0.06551696984014489,0.14594062811730954,0.0,0.011267596275198126,0.5050620161876994,0.05330701571887929,0.03670913409630749,0.2,0.0005079576767310276,0.0,0.06857282945816569,0.0,0.0,0.4891416452896697,0.11779141104294474,0.0,0.018518518518518517,0.03727369542066028,0.0,0.0010924547470289212,0.04927132788263842,0.0044397867524684385,0.0018429782528566164,0.00045173717363503253,0.12195691063234035,0.1013694487409408,0.10228836192478896,0.11219139507909016,0.012640379374700616,0.00069810378686057,0.0280855495620161,0.0,0.0012059962420295672,0.08470847084708473,0.0,0.371628558357857,0.029174842507487357,0.054100760265072385,0.02155452943610769,0.05191553114124462,0.3480215827338129,0.9205066608429788,0.169811320754717,0.0037418741193024773,0.25678804076947714,0.2857142857142857,0.55,0.2916327689183985,0.037266778021641904,0.008764557513624724,0.0,0.3346724658853216,0.0,0.004658440169698423,0.16031664723169692,0.16449213054693632,0.056268852688713115,0.22242311134464093,0.33333333333333337,0.01053749487334346,0.2086642578964099,0.0,0.05315448626385258,0.13687145288490338,0.08484694366843504,0.5420054200542007,0.04061514195583596,0.0,0.010949629426951069,0.03937842676939315,0.22073578595317725,0.001688872208669544,0.0010844956867656203,0.0025724845761572407,0.010419174461746521,0.0028025282076867123,0.010943378578650895,0.018867924528301886,0.407535321821036,0.7435897435897436,0.21589916369866916,0.1627906976744186,0.006965131456459983,0.0518053524366559,0.14101761862987558,0.04107438008324109,0.3699312987330007,0.3161764705882353,0.3476121433607754,0.07032181168057211,0.001159103577348015,0.0,0.02888086642599278,0.03284356093344856,0.018000259611746283,0.4073931228899885,0.2084024322830293,0.12903225806451613,0.06631025652545039,0.06605989430416913,0.017276244370202296,0.03391417425227568,0.06813356988538856,0.04955150573956077,0.20872391823045167,0.16709216566094176,0.12784071921212578,0.050772850949925855,0.09622401701293627,0.07998602427574683,0.2727272727272727,0.1303562831006259,0.0052400729899730455,0.846675824985216,0.6861110623869824,0.03306270037138966,0.0,0.2279635258358663,0.006133728048963875,0.11602021388618525,0.1354212316454538,0.009291346491888907,0.5882352941176471,0.3134422559864681,0.17749206200304554
Corynebacteriaceae,0.0,0.0,0.013446523732804559,0.015105625804497612,0.0001656838400778218,0.011111031582083326,0.015570688992288853,0.0006816134714503568,0.012010164726333095,0.021889382446799985,0.0002601033864376994,0.003139330188981909,8.469144625614515e-05,0.0003259229705808298,2.2696510272208384e-06,0.0010229630947648273,0.0041354268231180435,0.0,0.0,0.0,0.0,0.0,8.859578555041266e-05,0.02024398045241248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020924031655465147,0.0010671145744831872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086654050599454
Mycobacteriaceae,0.0,0.0,0.13988722270417647,0.11244037252971907,0.0022730179713155727,0.035462334266703185,0.10728215711936308,0.005198104707869284,0.10469387014731156,0.09597652303596917,0.0010518886951524607,0.025854667781081205,0.0010968497456857896,0.002100392477076459,6.215685580678626e-05,0.007495857166413738,0.04720438422485963,0.005242935650928726,0.0,0.0,0.0,0.00030340451617566076,0.0007237770988304553,0.08705923793559985,0.00012634130501233332,0.0,0.00018553548241508885,0.0,0.0,0.08333333333333333,0.003096556254105284,0.0,0.0,0.0,0.0,0.09803921568627452,0.0,0.005716954623920526,0.0,0.020141164629991142,0.0,0.0011723227808809373,0.0,0.041899953938807834,0.0,0.04175638619632247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.610018573648412e-05,0.0,0.0,0.00015057905787834418,0.0,0.0,2.5553858991312854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066244449297517645,0.0,0.0,0.0,0.0,0.0,0.0,7.014649209730394e-07,0.0,0.0,0.0,0.0670416213802542,0.004575253738096665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004558250875205175,0.0005205869606601093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036101083032490976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001437930137304864,0.0,0.019887819373702383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46028516726329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
