"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","axis","mean_F","n_instruments","lo_ci","up_ci","or","or_lci95","or_uci95"
"ebi-a-GCST90006910","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","H. pylori IgG seropositivity","MR Egger",17,0.100266358785486,0.3677364785385,0.7888337485704,"H. pylori",21.5709854277382,17,-0.620497139149974,0.821029856720946,1.1054653292669,0.537677070818988,2.27283933151502
"ebi-a-GCST90006910","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","H. pylori IgG seropositivity","Weighted median",17,0.0940968889177063,0.179524365045214,0.600177340676132,"H. pylori",21.5709854277382,17,-0.257770866570914,0.445964644406326,1.0986661893385,0.772772279784753,1.56199624025308
"ebi-a-GCST90006910","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","H. pylori IgG seropositivity","Inverse variance weighted",17,-0.0423370486883772,0.155564088082763,0.785505291064982,"H. pylori",21.5709854277382,17,-0.347242661330593,0.262568563953838,0.958546649229175,0.706633834744588,1.30026561646398
"ebi-a-GCST90006910","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","H. pylori IgG seropositivity","Simple mode",17,0.289005786185244,0.331345880902636,0.395990193960728,"H. pylori",21.5709854277382,17,-0.360432140383923,0.93844371275441,1.33509945363892,0.697374897090137,2.55600045046724
"ebi-a-GCST90006910","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","H. pylori IgG seropositivity","Weighted mode",17,0.11105152141763,1.06775789572872,0.918458396939618,"H. pylori",21.5709854277382,17,-1.98175395421066,2.20385699704592,1.11745247810718,0.137827282441658,9.05989016620448
"ebi-a-GCST90017070","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Streptococcus (genus)","MR Egger",15,0.130354978216451,0.41645764326057,0.759238821559476,"oral-origin",22.4977197421406,15,-0.685902002574266,0.946611959007167,1.13923271435309,0.503635743894528,2.57696399269885
"ebi-a-GCST90017070","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Streptococcus (genus)","Weighted median",15,0.0436274245714194,0.121028434474945,0.718493804358807,"oral-origin",22.4977197421406,15,-0.193588306999473,0.280843156142312,1.04459309265899,0.823997068273526,1.32424588781261
"ebi-a-GCST90017070","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Streptococcus (genus)","Inverse variance weighted",15,0.0950639831127539,0.101352744724309,0.348269212597163,"oral-origin",22.4977197421406,15,-0.103587396546893,0.2937153627724,1.09972921697358,0.901597222814523,1.341402036366
"ebi-a-GCST90017070","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Streptococcus (genus)","Simple mode",15,0.0184937307889648,0.27382793461728,0.947108663222324,"oral-origin",22.4977197421406,15,-0.518209021060905,0.555196482638834,1.01866579891869,0.59558627581366,1.74228327956185
"ebi-a-GCST90017070","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Streptococcus (genus)","Weighted mode",15,0.0289741759403603,0.325879755978787,0.930412304095029,"oral-origin",22.4977197421406,15,-0.609750145778062,0.667698497658783,1.02939801089626,0.543486644544462,1.94974481061141
"ebi-a-GCST90032406","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Fusobacterium","MR Egger",23,-0.622553504837581,0.332349902076164,0.0750295714637346,"oral-origin",22.7979751281608,23,-1.27395931290686,0.0288523032316997,0.536572546182044,0.279721919791971,1.02927256301687
"ebi-a-GCST90032406","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Fusobacterium","Weighted median",23,0.0136782379417448,0.183861498627282,0.940696685487457,"oral-origin",22.7979751281608,23,-0.346690299367729,0.374046775251218,1.01377221302066,0.707024260214737,1.45360514161236
"ebi-a-GCST90032406","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Fusobacterium","Inverse variance weighted",23,0.0378763201507602,0.138883236476907,0.785067995103814,"oral-origin",22.7979751281608,23,-0.234334823343978,0.310087463645498,1.03860277070047,0.791096893839608,1.3635443694782
"ebi-a-GCST90032406","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Fusobacterium","Simple mode",23,0.256491076124844,0.304676657547469,0.408932083797524,"oral-origin",22.7979751281608,23,-0.340675172668195,0.853657324917882,1.2923872326459,0.711289917091287,2.34821936733819
"ebi-a-GCST90032406","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Fusobacterium","Weighted mode",23,-0.0534396103471311,0.905993091638332,0.953496912629925,"oral-origin",22.7979751281608,23,-1.82918606995826,1.722306849264,0.947963186443031,0.160544186347066,5.59742600026978
"ebi-a-GCST90017045","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Prevotella","MR Egger",15,0.0843056885877224,0.3832590891336,0.829310698037501,"oral-origin",20.93556346298,15,-0.666882126114133,0.835493503289578,1.08796142037154,0.513306510380073,2.30595176231142
"ebi-a-GCST90017045","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Prevotella","Weighted median",15,-0.0973913431363909,0.107648255790476,0.365614662593099,"oral-origin",20.93556346298,15,-0.308381924485724,0.113599238212942,0.907200909806169,0.734634689447058,1.12030306024972
"ebi-a-GCST90017045","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Prevotella","Inverse variance weighted",15,-0.0236235800588475,0.0784882744902511,0.763428004458263,"oral-origin",20.93556346298,15,-0.17746059805974,0.130213437942045,0.976653272341928,0.837393993633841,1.13907147845304
"ebi-a-GCST90017045","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Prevotella","Simple mode",15,-0.0663398001231765,0.19045301075716,0.732777452842868,"oral-origin",20.93556346298,15,-0.43962770120721,0.306948100960857,0.935812820947267,0.644276239704545,1.35927042141254
"ebi-a-GCST90017045","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Prevotella","Weighted mode",15,-0.106949945236371,0.233593030472648,0.654087483863946,"oral-origin",20.93556346298,15,-0.56479228496276,0.350892394490019,0.89857064960612,0.568478215968541,1.42033448187265
"ebi-a-GCST90017088","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Veillonella","MR Egger",8,-1.90154721269022,1.0575485842126,0.122278674855608,"oral-origin",21.1609775939287,8,-3.97434243774691,0.17124801236647,0.149337383688321,0.0187916541153502,1.18678504989379
"ebi-a-GCST90017088","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Veillonella","Weighted median",8,0.104565135032699,0.134644767858623,0.437394765107326,"oral-origin",21.1609775939287,8,-0.159338609970202,0.368468880035601,1.11022770622911,0.852707574792798,1.44551965540854
"ebi-a-GCST90017088","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Veillonella","Inverse variance weighted",8,0.0429383146191952,0.108292584409146,0.691734131216543,"oral-origin",21.1609775939287,8,-0.169315150822732,0.255191780061122,1.04387350113013,0.844242797644252,1.29070912941426
"ebi-a-GCST90017088","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Veillonella","Simple mode",8,0.125814596093768,0.333011386600056,0.716767994919254,"oral-origin",21.1609775939287,8,-0.526887721642341,0.778516913829878,1.1340718874323,0.590439725841649,2.1782393520879
"ebi-a-GCST90017088","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Veillonella","Weighted mode",8,0.112010718738881,0.350177202923046,0.758403456282964,"oral-origin",21.1609775939287,8,-0.574336598990289,0.798358036468051,1.11852484975659,0.563078291635937,2.22188966988609
"ebi-a-GCST90017030","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Lactobacillus","MR Egger",10,0.286633607944958,0.187705076487933,0.16526796244499,"protective-cand",22.0542486045511,10,-0.0812683419713914,0.654535557861307,1.33193611325339,0.921946261370863,1.92424860766904
"ebi-a-GCST90017030","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Lactobacillus","Weighted median",10,-0.0324103489716739,0.0873761145450271,0.710690293797099,"protective-cand",22.0542486045511,10,-0.203667533479927,0.138846835536579,0.968109237929639,0.81573353019724,1.14894810850559
"ebi-a-GCST90017030","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Lactobacillus","Inverse variance weighted",10,-0.0423135295883875,0.0644577180118099,0.511532027933605,"protective-cand",22.0542486045511,10,-0.168650656891535,0.0840235977147599,0.958569193648774,0.844803978289661,1.08765455966805
"ebi-a-GCST90017030","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Lactobacillus","Simple mode",10,-0.0837479600908945,0.223887042451905,0.717017629855249,"protective-cand",22.0542486045511,10,-0.522566563296628,0.355070643114839,0.919663018670822,0.592996629805432,1.42628140768395
"ebi-a-GCST90017030","ebi-a-GCST90018849","Gastric cancer || id:ebi-a-GCST90018849","Lactobacillus","Weighted mode",10,-0.0751234924112348,0.231200330604042,0.752661224871451,"protective-cand",22.0542486045511,10,-0.528276140395158,0.378029155572688,0.927628924122346,0.58962051708788,1.45940549205843
