"gene","module","MM","GS","GS_trait","hubScore"
"PACRG","turquoise",0.443,-0.346,"status_Tumor",0.153
"SGSM1","turquoise",0.443,-0.18,"status_Tumor",0.08
"ARNT2-DT","turquoise",0.442,-0.145,"status_Tumor",0.064
"SLC25A27","turquoise",0.442,-0.07,"status_Tumor",0.031
"EPHB6","turquoise",0.44,-0.255,"status_Tumor",0.112
"FAIM2","turquoise",0.44,-0.238,"status_Tumor",0.105
"TMEM178B","turquoise",0.44,-0.082,"status_Tumor",0.036
"MGAT5B","turquoise",0.44,-0.08,"status_Tumor",0.035
"FOXC2","turquoise",0.439,0.116,"status_Tumor",0.051
"DMRTA1","turquoise",0.438,-0.384,"status_Tumor",0.168
"SCG3","turquoise",0.438,-0.275,"status_Tumor",0.12
"LAMP5","turquoise",0.438,0.089,"status_Tumor",0.039
"LPL","turquoise",0.438,-0.085,"status_Tumor",0.037
"CHADL","turquoise",0.437,-0.367,"status_Tumor",0.161
"CTXND1","turquoise",0.437,-0.358,"status_Tumor",0.156
"CTNNA2","turquoise",0.437,-0.237,"status_Tumor",0.104
"HDAC9","turquoise",0.437,-0.175,"status_Tumor",0.077
"PAK5","turquoise",0.434,-0.282,"status_Tumor",0.123
"AJAP1","turquoise",0.434,-0.17,"status_Tumor",0.074
"CBLN1","turquoise",0.434,-0.169,"status_Tumor",0.073
"SDK2","turquoise",0.434,-0.118,"status_Tumor",0.051
"SYN2","turquoise",0.433,-0.19,"status_Tumor",0.082
"HHIP","turquoise",0.433,-0.137,"status_Tumor",0.059
"VANGL2","turquoise",0.433,-0.124,"status_Tumor",0.054
"GRP","turquoise",0.433,-0.12,"status_Tumor",0.052
"MIR646HG","turquoise",0.433,-0.056,"status_Tumor",0.024
"NYAP1","turquoise",0.432,-0.225,"status_Tumor",0.098
"SEC14L6","turquoise",0.431,-0.169,"status_Tumor",0.073
"PCDH11X","turquoise",0.43,-0.11,"status_Tumor",0.047
"PCDHB6","turquoise",0.43,0.016,"status_Tumor",0.007
"PAIP2B","turquoise",0.429,-0.36,"status_Tumor",0.154
"F10","turquoise",0.429,-0.311,"status_Tumor",0.134
"ABLIM3","turquoise",0.429,-0.181,"status_Tumor",0.078
"LINC01359","turquoise",0.429,0.091,"status_Tumor",0.039
"C1QTNF1","turquoise",0.429,-0.004,"status_Tumor",0.002
"CHRM3","turquoise",0.428,-0.179,"status_Tumor",0.077
"LGALS12","turquoise",0.428,-0.138,"status_Tumor",0.059
"CAMK2B","turquoise",0.427,-0.298,"status_Tumor",0.127
"AIF1L","turquoise",0.427,-0.271,"status_Tumor",0.116
"PCSK1N","turquoise",0.427,-0.171,"status_Tumor",0.073
"CFAP91","turquoise",0.426,-0.153,"status_Tumor",0.065
"SHC3","turquoise",0.426,-0.091,"status_Tumor",0.039
"ARNT2","turquoise",0.426,-0.088,"status_Tumor",0.037
"SEMA3C","turquoise",0.426,-0.055,"status_Tumor",0.023
"CBLN4","turquoise",0.426,0.038,"status_Tumor",0.016
"SOX5-AS1","turquoise",0.426,-0.021,"status_Tumor",0.009
"FOSB","turquoise",0.424,-0.291,"status_Tumor",0.123
"SNPH","turquoise",0.424,-0.263,"status_Tumor",0.111
"BSN","turquoise",0.423,-0.038,"status_Tumor",0.016
"GMPR","turquoise",0.422,-0.175,"status_Tumor",0.074
"SEMA6A","turquoise",0.422,-0.128,"status_Tumor",0.054
"TMEM220","turquoise",0.421,-0.357,"status_Tumor",0.15
"ZNF512B","turquoise",0.421,-0.172,"status_Tumor",0.073
"TBX18","turquoise",0.421,0.044,"status_Tumor",0.018
"NFIA-AS2","turquoise",0.42,0.046,"status_Tumor",0.019
"HS6ST2","turquoise",0.419,-0.142,"status_Tumor",0.059
"CACNA1B","turquoise",0.419,-0.025,"status_Tumor",0.011
"RIMBP2","turquoise",0.418,-0.218,"status_Tumor",0.091
"BRINP1","turquoise",0.418,-0.146,"status_Tumor",0.061
"SCG5","turquoise",0.418,-0.091,"status_Tumor",0.038
"ZNF257","turquoise",0.418,-0.089,"status_Tumor",0.037
"FNDC4","turquoise",0.417,-0.267,"status_Tumor",0.111
"WIPF3","turquoise",0.417,-0.197,"status_Tumor",0.082
"PCDHAC1","turquoise",0.417,0.018,"status_Tumor",0.007
"MMP24","turquoise",0.417,0.018,"status_Tumor",0.007
"C4orf54","turquoise",0.416,0.018,"status_Tumor",0.007
"BNIP3","turquoise",0.415,-0.287,"status_Tumor",0.119
"MTSS1","turquoise",0.415,-0.208,"status_Tumor",0.086
"LRRIQ1","turquoise",0.415,-0.061,"status_Tumor",0.025
"FAM149A","turquoise",0.412,-0.282,"status_Tumor",0.116
"LRRN1","turquoise",0.412,-0.032,"status_Tumor",0.013
"SYT1","turquoise",0.412,0.01,"status_Tumor",0.004
"RUNDC3A","turquoise",0.411,-0.18,"status_Tumor",0.074
"BCAM","turquoise",0.411,-0.067,"status_Tumor",0.027
"CHST9","turquoise",0.409,-0.246,"status_Tumor",0.1
"SRPK3","turquoise",0.408,-0.101,"status_Tumor",0.041
"FAM135B","turquoise",0.407,-0.389,"status_Tumor",0.158
"FLG","turquoise",0.407,-0.28,"status_Tumor",0.114
"TIMP4","turquoise",0.407,-0.232,"status_Tumor",0.094
"LOC107987423","turquoise",0.406,-0.201,"status_Tumor",0.082
"LOC101928834","turquoise",0.406,-0.178,"status_Tumor",0.072
"STK33","turquoise",0.406,-0.131,"status_Tumor",0.053
"GABRG2","turquoise",0.406,-0.093,"status_Tumor",0.038
"GRIP1","turquoise",0.405,-0.154,"status_Tumor",0.063
"LINC02609","turquoise",0.405,-0.121,"status_Tumor",0.049
"PTP4A3","turquoise",0.405,0.04,"status_Tumor",0.016
"LUZP2","turquoise",0.405,-0.002,"status_Tumor",0.001
"ENPP6","turquoise",0.404,-0.434,"status_Tumor",0.175
"PFN2","turquoise",0.404,-0.051,"status_Tumor",0.021
"LINC02269","turquoise",0.404,-0.015,"status_Tumor",0.006
"EGR1","turquoise",0.402,-0.251,"status_Tumor",0.101
"CRABP1","turquoise",0.402,-0.071,"status_Tumor",0.029
"PITPNM3","turquoise",0.401,-0.316,"status_Tumor",0.127
"CNTFR","turquoise",0.4,-0.356,"status_Tumor",0.143
"CPNE6","turquoise",0.4,-0.324,"status_Tumor",0.13
"TPSG1","turquoise",0.4,-0.318,"status_Tumor",0.127
"ENTREP1","turquoise",0.4,-0.288,"status_Tumor",0.115
"EFR3B","turquoise",0.4,0.022,"status_Tumor",0.009
"ADAMTS15","turquoise",0.399,-0.268,"status_Tumor",0.107
"ERBB4","turquoise",0.399,-0.182,"status_Tumor",0.073
"FBLL1","turquoise",0.399,-0.163,"status_Tumor",0.065
"MYH2","turquoise",0.399,-0.075,"status_Tumor",0.03
"SLC25A21-AS1","turquoise",0.398,-0.209,"status_Tumor",0.083
"GPC3","turquoise",0.398,-0.011,"status_Tumor",0.004
"ZNF595","turquoise",0.397,-0.208,"status_Tumor",0.083
"CD207","turquoise",0.397,-0.184,"status_Tumor",0.073
"POPDC3","turquoise",0.397,-0.176,"status_Tumor",0.07
"ZNF334","turquoise",0.395,-0.088,"status_Tumor",0.035
"ABCC8","turquoise",0.394,-0.278,"status_Tumor",0.11
"HCN1","turquoise",0.394,-0.15,"status_Tumor",0.059
"ADGRG2","turquoise",0.393,-0.273,"status_Tumor",0.107
"NTF3","turquoise",0.392,-0.286,"status_Tumor",0.112
"SGCZ","turquoise",0.392,-0.13,"status_Tumor",0.051
"CCDC74B","turquoise",0.391,-0.072,"status_Tumor",0.028
"ENPP3","turquoise",0.39,-0.389,"status_Tumor",0.152
"SHISA6","turquoise",0.39,-0.281,"status_Tumor",0.109
"TMEM61","turquoise",0.39,-0.239,"status_Tumor",0.093
"TUBB2B","turquoise",0.39,-0.187,"status_Tumor",0.073
"RBP1","turquoise",0.39,-0.179,"status_Tumor",0.07
"NKD1","turquoise",0.389,-0.104,"status_Tumor",0.04
"TSPOAP1","turquoise",0.388,-0.197,"status_Tumor",0.076
"GRID2","turquoise",0.387,-0.269,"status_Tumor",0.104
"PLAAT1","turquoise",0.387,-0.197,"status_Tumor",0.076
"CPB1","turquoise",0.386,-0.364,"status_Tumor",0.14
"RYR1","turquoise",0.386,-0.127,"status_Tumor",0.049
"MT1M","turquoise",0.385,-0.447,"status_Tumor",0.172
"ZNF311","turquoise",0.384,-0.19,"status_Tumor",0.073
"ADRA1B","turquoise",0.383,-0.15,"status_Tumor",0.057
"CXXC4","turquoise",0.382,-0.068,"status_Tumor",0.026
"NXPE2","turquoise",0.382,-0.037,"status_Tumor",0.014
"EPIST","turquoise",0.38,-0.476,"status_Tumor",0.181
"SEC14L5","turquoise",0.379,-0.289,"status_Tumor",0.11
"SFRP5","turquoise",0.378,-0.299,"status_Tumor",0.113
"SLAIN1","turquoise",0.377,-0.192,"status_Tumor",0.073
"SST","turquoise",0.376,-0.35,"status_Tumor",0.132
"CCL23","turquoise",0.376,-0.222,"status_Tumor",0.083
"APOBEC2","turquoise",0.375,-0.397,"status_Tumor",0.149
"KLF2","turquoise",0.375,-0.338,"status_Tumor",0.127
"ZNF793-AS1","turquoise",0.375,-0.229,"status_Tumor",0.086
"CFAP221","turquoise",0.375,-0.164,"status_Tumor",0.062
"ZNF365","turquoise",0.375,-0.071,"status_Tumor",0.026
"SNCAIP","turquoise",0.375,-0.045,"status_Tumor",0.017
"MTCL1","turquoise",0.375,-0.001,"status_Tumor",0
"TBX1","turquoise",0.374,-0.186,"status_Tumor",0.07
"FAM153A","turquoise",0.373,-0.211,"status_Tumor",0.079
"ADGRG4","turquoise",0.372,-0.382,"status_Tumor",0.142
"DUSP5","turquoise",0.372,-0.367,"status_Tumor",0.136
"PRRG3","turquoise",0.372,-0.193,"status_Tumor",0.072
"PCDHA13","turquoise",0.372,-0.045,"status_Tumor",0.017
"XPNPEP2","turquoise",0.37,-0.249,"status_Tumor",0.092
"TRMT9B","turquoise",0.37,-0.158,"status_Tumor",0.058
"NDST4","turquoise",0.369,-0.26,"status_Tumor",0.096
"PCLO","turquoise",0.369,-0.148,"status_Tumor",0.055
"CCBE1","turquoise",0.368,-0.263,"status_Tumor",0.097
"PGPEP1L","turquoise",0.367,-0.172,"status_Tumor",0.063
"CDK5R2","turquoise",0.366,-0.148,"status_Tumor",0.054
"NDP","turquoise",0.366,-0.079,"status_Tumor",0.029
"MED12L","turquoise",0.365,0.062,"status_Tumor",0.023
"ESPNL","turquoise",0.365,-0.043,"status_Tumor",0.016
"LINC01535","turquoise",0.365,-0.042,"status_Tumor",0.015
"PPM1E","turquoise",0.364,0.023,"status_Tumor",0.008
"ENTPD3","turquoise",0.363,-0.346,"status_Tumor",0.126
"LINC01750","turquoise",0.362,-0.185,"status_Tumor",0.067
"ZNF772","turquoise",0.362,-0.003,"status_Tumor",0.001
"HSPB1","turquoise",0.361,-0.22,"status_Tumor",0.079
"SPMIP5","turquoise",0.361,-0.181,"status_Tumor",0.065
"VSTM2A","turquoise",0.36,-0.502,"status_Tumor",0.181
"APCDD1","turquoise",0.36,-0.222,"status_Tumor",0.08
"ESRRG","turquoise",0.359,-0.463,"status_Tumor",0.166
"OTOGL","turquoise",0.359,0.033,"status_Tumor",0.012
"HTR3A","turquoise",0.358,-0.13,"status_Tumor",0.046
"DANT2","turquoise",0.357,-0.104,"status_Tumor",0.037
"ADAM22","turquoise",0.357,0.094,"status_Tumor",0.034
"SPAG16","turquoise",0.356,-0.302,"status_Tumor",0.107
"MPV17L","turquoise",0.356,-0.15,"status_Tumor",0.053
"IGF2","turquoise",0.354,0.061,"status_Tumor",0.022
"SCN5A","turquoise",0.354,-0.024,"status_Tumor",0.009
"TMEM63C","turquoise",0.353,-0.311,"status_Tumor",0.11
"PWWP3B","turquoise",0.353,-0.187,"status_Tumor",0.066
"THNSL2","turquoise",0.352,-0.173,"status_Tumor",0.061
"CCND2","turquoise",0.352,-0.076,"status_Tumor",0.027
"PPFIA4","turquoise",0.352,-0.008,"status_Tumor",0.003
"CLCNKA","turquoise",0.351,-0.332,"status_Tumor",0.116
"SMTNL2","turquoise",0.351,-0.098,"status_Tumor",0.034
"CCDC141","turquoise",0.351,0.032,"status_Tumor",0.011
"SLC51B","turquoise",0.35,-0.278,"status_Tumor",0.097
"FRG1CP","turquoise",0.35,-0.017,"status_Tumor",0.006
"KBTBD12","turquoise",0.349,-0.213,"status_Tumor",0.074
"RTN4RL1","turquoise",0.349,-0.126,"status_Tumor",0.044
"DOC2B","turquoise",0.349,-0.104,"status_Tumor",0.036
"SCX","turquoise",0.348,0.015,"status_Tumor",0.005
"SCTR","turquoise",0.347,-0.271,"status_Tumor",0.094
"RGS6","turquoise",0.347,-0.128,"status_Tumor",0.045
"PCDH8","turquoise",0.346,-0.061,"status_Tumor",0.021
"DIO2","turquoise",0.345,0.172,"status_Tumor",0.059
"OPTC","turquoise",0.345,-0.051,"status_Tumor",0.018
"GRIA4","turquoise",0.343,-0.413,"status_Tumor",0.142
"GCNT2","turquoise",0.343,-0.294,"status_Tumor",0.101
"LRMDA","turquoise",0.343,-0.162,"status_Tumor",0.055
"ALDH1L1","turquoise",0.341,-0.229,"status_Tumor",0.078
"PLA2R1","turquoise",0.339,-0.049,"status_Tumor",0.017
"GSTT2B","turquoise",0.339,-0.005,"status_Tumor",0.002
"IP6K3","turquoise",0.338,-0.362,"status_Tumor",0.122
"ZNF736","turquoise",0.338,-0.028,"status_Tumor",0.01
"RASL11A","turquoise",0.337,-0.226,"status_Tumor",0.076
"MIR4500HG","turquoise",0.336,0.003,"status_Tumor",0.001
"CELF3","turquoise",0.335,-0.231,"status_Tumor",0.078
"NAT8L","turquoise",0.335,-0.084,"status_Tumor",0.028
"GNG4","turquoise",0.333,-0.171,"status_Tumor",0.057
"CLEC2L","turquoise",0.333,0.088,"status_Tumor",0.029
"HOMER2","turquoise",0.332,-0.321,"status_Tumor",0.107
"NKAIN2","turquoise",0.332,-0.005,"status_Tumor",0.002
"CHGA","turquoise",0.33,-0.327,"status_Tumor",0.108
"SMIM1","turquoise",0.33,-0.236,"status_Tumor",0.078
"ZNF503","turquoise",0.33,-0.115,"status_Tumor",0.038
"LINC00632","turquoise",0.329,-0.136,"status_Tumor",0.045
"ZNF737","turquoise",0.328,-0.138,"status_Tumor",0.045
"RAB36","turquoise",0.328,0.007,"status_Tumor",0.002
"DDO","turquoise",0.327,-0.259,"status_Tumor",0.085
"ZNF541","turquoise",0.327,-0.011,"status_Tumor",0.004
"COLGALT2","turquoise",0.326,-0.072,"status_Tumor",0.023
"SLC35F3","turquoise",0.325,-0.222,"status_Tumor",0.072
"BHMT","turquoise",0.324,-0.266,"status_Tumor",0.086
"NKAIN1","turquoise",0.324,-0.031,"status_Tumor",0.01
"IRX1","turquoise",0.322,-0.151,"status_Tumor",0.048
"TDRD9","turquoise",0.321,-0.052,"status_Tumor",0.017
"GABBR2","turquoise",0.321,-0.017,"status_Tumor",0.005
"IRX6","turquoise",0.32,-0.265,"status_Tumor",0.085
"SLC2A12","turquoise",0.319,-0.348,"status_Tumor",0.111
"IGFBPL1","turquoise",0.319,-0.02,"status_Tumor",0.006
"CPLX2","turquoise",0.318,-0.227,"status_Tumor",0.072
"PTGER2","turquoise",0.318,-0.157,"status_Tumor",0.05
"SUSD2","turquoise",0.316,-0.167,"status_Tumor",0.053
"ADCY1","turquoise",0.316,0.025,"status_Tumor",0.008
"ABCG2","turquoise",0.314,-0.247,"status_Tumor",0.078
"DIRAS2","turquoise",0.314,-0.186,"status_Tumor",0.058
"ACSL6","turquoise",0.312,-0.186,"status_Tumor",0.058
"ZNF578","turquoise",0.312,0.029,"status_Tumor",0.009
"FEV","turquoise",0.31,-0.258,"status_Tumor",0.08
"TPSD1","turquoise",0.31,-0.23,"status_Tumor",0.071
"ZNF682","turquoise",0.31,-0.105,"status_Tumor",0.032
"AKR1C1","turquoise",0.309,-0.418,"status_Tumor",0.129
"EEF1A2","turquoise",0.309,-0.283,"status_Tumor",0.087
"NELL1","turquoise",0.309,-0.218,"status_Tumor",0.067
"CPA1","turquoise",0.308,-0.243,"status_Tumor",0.075
"CDH22","turquoise",0.307,-0.365,"status_Tumor",0.112
"BHLHE41","turquoise",0.307,0.036,"status_Tumor",0.011
"SCGN","turquoise",0.306,-0.236,"status_Tumor",0.072
"ARHGEF10","turquoise",0.306,0.065,"status_Tumor",0.02
"TEX15","turquoise",0.305,-0.114,"status_Tumor",0.035
"MT1A","turquoise",0.304,-0.384,"status_Tumor",0.117
"AMER3","turquoise",0.303,-0.171,"status_Tumor",0.052
"GREB1L","turquoise",0.302,-0.069,"status_Tumor",0.021
"FAM178B","turquoise",0.301,-0.06,"status_Tumor",0.018
"FAM131B","turquoise",0.3,0.022,"status_Tumor",0.006
"CLDN10","turquoise",0.298,-0.19,"status_Tumor",0.057
"RASD1","turquoise",0.298,-0.134,"status_Tumor",0.04
"FREM2","turquoise",0.297,0.007,"status_Tumor",0.002
"SLC16A9","turquoise",0.295,-0.297,"status_Tumor",0.088
"XG","turquoise",0.294,-0.16,"status_Tumor",0.047
"PIPOX","turquoise",0.293,-0.171,"status_Tumor",0.05
"GALNT8","turquoise",0.293,-0.121,"status_Tumor",0.036
"NALF2","turquoise",0.293,-0.101,"status_Tumor",0.03
"KIAA0087","turquoise",0.293,-0.002,"status_Tumor",0.001
"ADRA2C","turquoise",0.292,-0.025,"status_Tumor",0.007
"LNC-LBCS","turquoise",0.291,-0.208,"status_Tumor",0.06
"H3-7","turquoise",0.291,-0.062,"status_Tumor",0.018
"APLP1","turquoise",0.289,-0.224,"status_Tumor",0.065
"LINC00842","turquoise",0.288,-0.144,"status_Tumor",0.042
"LRRC43","turquoise",0.288,0.099,"status_Tumor",0.028
"CCDC60","turquoise",0.287,-0.114,"status_Tumor",0.033
"SCN2A","turquoise",0.286,0.042,"status_Tumor",0.012
"CALCA","turquoise",0.286,0.004,"status_Tumor",0.001
"FGF9","turquoise",0.284,-0.067,"status_Tumor",0.019
"KNDC1","turquoise",0.283,-0.047,"status_Tumor",0.013
"IL1RAPL2","turquoise",0.283,-0.008,"status_Tumor",0.002
"SOX8","turquoise",0.283,0,"status_Tumor",0
"SLC26A7","turquoise",0.282,-0.198,"status_Tumor",0.056
"HCN2","turquoise",0.282,-0.174,"status_Tumor",0.049
"MACROD2","turquoise",0.282,-0.032,"status_Tumor",0.009
"HCN4","turquoise",0.281,-0.173,"status_Tumor",0.048
"TRPM6","turquoise",0.281,-0.054,"status_Tumor",0.015
"KCNF1","turquoise",0.28,-0.017,"status_Tumor",0.005
"LPAR3","turquoise",0.279,-0.269,"status_Tumor",0.075
"SMIM38","turquoise",0.277,-0.374,"status_Tumor",0.104
"NCKAP5","turquoise",0.277,-0.294,"status_Tumor",0.082
"ERICH3","turquoise",0.277,-0.051,"status_Tumor",0.014
"ETNPPL","turquoise",0.276,-0.325,"status_Tumor",0.09
"ARHGDIG","turquoise",0.276,-0.297,"status_Tumor",0.082
"LINC02714","turquoise",0.276,-0.039,"status_Tumor",0.011
"HAGLR","turquoise",0.275,0.018,"status_Tumor",0.005
"C6","turquoise",0.274,-0.141,"status_Tumor",0.039
"PIK3CD-AS2","turquoise",0.273,-0.174,"status_Tumor",0.048
"KRT1","turquoise",0.272,-0.323,"status_Tumor",0.088
"FST","turquoise",0.272,-0.1,"status_Tumor",0.027
"PCDHA11","turquoise",0.272,0.048,"status_Tumor",0.013
"DNAH9","turquoise",0.271,-0.039,"status_Tumor",0.011
"NTS","turquoise",0.269,-0.132,"status_Tumor",0.036
"SMOC1","turquoise",0.269,-0.025,"status_Tumor",0.007
"SOHLH2","turquoise",0.269,-0.021,"status_Tumor",0.006
"UCN3","turquoise",0.268,-0.283,"status_Tumor",0.076
"TMED11P","turquoise",0.268,0.046,"status_Tumor",0.012
"UNC13A","turquoise",0.267,0.139,"status_Tumor",0.037
"CDHR1","turquoise",0.266,-0.203,"status_Tumor",0.054
"DLGAP1","turquoise",0.263,-0.079,"status_Tumor",0.021
"SYCP2L","turquoise",0.262,0.163,"status_Tumor",0.043
"KCNG3","turquoise",0.261,0.169,"status_Tumor",0.044
"PNMA3","turquoise",0.26,0.008,"status_Tumor",0.002
"RGS7","turquoise",0.259,-0.077,"status_Tumor",0.02
"PLEKHG4B","turquoise",0.256,-0.155,"status_Tumor",0.04
"CARNS1","turquoise",0.255,-0.214,"status_Tumor",0.055
"MYO3A","turquoise",0.255,-0.073,"status_Tumor",0.019
"TTYH1","turquoise",0.255,-0.039,"status_Tumor",0.01
"PNMA6A","turquoise",0.252,0.018,"status_Tumor",0.004
"OPRD1","turquoise",0.25,0.022,"status_Tumor",0.005
"WNT10B","turquoise",0.249,-0.157,"status_Tumor",0.039
"NOL4","turquoise",0.249,-0.106,"status_Tumor",0.026
"DRD2","turquoise",0.249,0.016,"status_Tumor",0.004
"CCNJL","turquoise",0.245,-0.145,"status_Tumor",0.036
"LINC01239","turquoise",0.241,-0.074,"status_Tumor",0.018
"FZD10","turquoise",0.234,-0.164,"status_Tumor",0.038
"PCDHA12","turquoise",0.232,0.082,"status_Tumor",0.019
"TRIM50","turquoise",0.231,-0.387,"status_Tumor",0.089
"MYT1","turquoise",0.226,-0.011,"status_Tumor",0.003
"MAGEB17","turquoise",0.225,-0.003,"status_Tumor",0.001
"VTN","turquoise",0.222,-0.016,"status_Tumor",0.004
"HMX3","turquoise",0.2,-0.018,"status_Tumor",0.004
"KCNH3","turquoise",0.199,0.031,"status_Tumor",0.006
"CST6","turquoise",0.193,-0.037,"status_Tumor",0.007
